encabezado,clase
Incluyen al Covid-19 entre las nuevas enfermedades de trabajo en México,0
Descartan casos de coronavirus en Jalisco,0
"En Tijuana prevalecen el alcohol, drogas y sexo en plena pandemia",1
"En Panamá, declaran alerta sanitaria por viruela del mono",0
Atiende Sedesa a 70 mil pacientes con problemas en la piel como cáncer,0
Muertos hasta en los baños: los tormentos de un enfermero en Guayaquil,1
A la baja los casos de VIH Sida en Jalisco,0
"Por Covid, Grito y Desfile Militar no tendrán público",0
Reportan compras de pánico en Tijuana por casos de coronavirus en EU,1
Airbnb limita reservaciones en México solo a personal médico ante Covid-19,0
"Por miedo a contagio de coronavirus, prohíben ingreso a directora de escuela en Morelos",1
Zoé Robledo dona plasma convaleciente en el IMSS,0
"Fue empeorando: Florinda Meza habla de ""profunda"" depresión que sufrió 'Chespirito'",1
UNAM emite una serie de recomendaciones ante coronavirus,0
Viruela del mono llega a EU; temen haya más casos,1
La Organización Mundial de la Salud abre cuenta en TikTok para informar sobre el coronavirus,0
Contagio por coronavirus será alto; pero letalidad baja: Udlap,1
"En pandemia por Covid-19, personal médico va a la guerra sin fusil",1
Jalisco recibe más de 84 mil vacunas contra covid-19 de Sinovac y Cansino,0
Francia limitará a mil personas las concentraciones masivas por temor a Covid-19,1
Día Mundial del Asma ¿Qué es y qué la produce?,0
"Por coronavirus, población vulnerable podrá ausentarse del trabajo con goce de sueldo",0
¿Por qué en EU evitan ir al médico incluso en crisis como la del coronavirus?,1
"Por coronavirus, California suspende clases y cierra espacios públicos",0
Secretario de Marina se recupera de covid-19,0
Brasil identifica 204 casos de covid-19 con la variante del Amazonas y del Reino Unido,0
Urgen acciones contra crisis por la pandemia,1
"Aumenta la cifra, van 141 muertos por Covid-19",1
Aeroméxico anuncia medidas contra coronavirus para quienes viajan a EU,0
Desarrollan en México cápsulas para transportar a infectados por coronavirus,1
Piden a empresas prevenirse y flexibilizarse ante Coronavirus,0
"Filippo Grandi, Alto Comisionado de la ONU para los Refugiados, da positivo a Covid-19",0
"Jesús Seade, ‘atrapado’ en China por coronavirus",1
"Cuarta ola de Covid-19 será la peor, advierte Merkel",1
OMS teme rápida escalada de muertos por Covid-19,1
Identifican nueva variante de Covid-19 en Israel,0
"Salen 10 mexicanos de Wuhan, China, donde inició brote de coronavirus",0
Hacienda se prepara para enfrentar pandemia del coronavirus,1
Europa registra drástica disminución en nuevos casos de covid-19,1
"El acumulado de fallecimientos en México por Covid-19 llegó a 1,305 personas",0
Habrá más kioscos para pruebas Covid en CDMX; analizan dar pruebas de auto aplicación,1
